title,author,average_rating,number_of_ratings,genres
The Lottery and Other Stories,Shirley Jackson,4.04,"73,037","['Short Stories', 'Horror', 'Fiction', 'Classics', 'Gothic', 'Literature', 'Audiobook']"
Four Great Tragedies: Hamlet / Othello / King Lear / Macbeth,William Shakespeare,4.42,"17,430","['Classics', 'Plays', 'Fiction', 'Drama', 'Poetry', 'Literature', 'Historical Fiction']"
Helter Skelter: The True Story of the Manson Murders,Vincent Bugliosi,4.06,"140,792","['True Crime', 'Nonfiction', 'Crime', 'History', 'Horror', 'Biography', 'Audiobook']"
The English Patient,Michael Ondaatje,3.87,"127,397","['Fiction', 'Historical Fiction', 'Classics', 'Romance', 'War', 'Historical', 'Canada']"
"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,4.31,"778,574","['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']"
"Worm Holes (Quantum Roots, #2)",Kyle Keyes,4.33,"2,172","['Fiction', 'Young Adult', 'Novels', 'Adventure', 'New Adult', 'Adult', 'Middle Grade']"
Requiem for a Dream,Hubert Selby Jr.,4.1,"58,466","['Fiction', 'Classics', 'Thriller', 'Contemporary', 'Mystery', 'Novels', 'Literature']"
Journey to the Center of the Earth,Jules Verne,3.86,"186,502","['Classics', 'Science Fiction', 'Fiction', 'Adventure', 'Fantasy', 'France', 'Literature']"
Bel Canto,Ann Patchett,3.93,"270,130","['Fiction', 'Contemporary', 'Literary Fiction', 'Book Club', 'Music', 'Novels', 'Historical Fiction']"
"Dandelion Wine (Green Town, #1)",Ray Bradbury,4.08,"65,674","['Fiction', 'Classics', 'Science Fiction', 'Fantasy', 'Young Adult', 'Short Stories', 'Coming Of Age']"
Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,4.23,"474,823","['Nonfiction', 'Adventure', 'Memoir', 'Travel', 'Biography', 'History', 'Survival']"
گم شده ای در مه,سید مرتضی مصطفوی,3.78,683,"['Fiction', 'Philosophy', 'Spirituality']"
Meditations,Marcus Aurelius,4.26,"203,397","['Philosophy', 'Nonfiction', 'Classics', 'History', 'Self Help', 'Psychology', 'Personal Development']"
The Tales of Beedle the Bard,J.K. Rowling,4.05,"470,680","['Fantasy', 'Fiction', 'Young Adult', 'Short Stories', 'Childrens', 'Magic', 'Middle Grade']"
The Brief Wondrous Life of Oscar Wao,Junot Díaz,3.89,"255,574","['Fiction', 'Contemporary', 'Magical Realism', 'Novels', 'Literary Fiction', 'Historical Fiction', 'Literature']"
The House on Mango Street,Sandra Cisneros,3.69,"170,531","['Fiction', 'Classics', 'Young Adult', 'Short Stories', 'School', 'Contemporary', 'Coming Of Age']"
Pet Sematary,Stephen King,4.05,"541,803","['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Audiobook', 'Paranormal', 'Adult']"
"Finding Hope in the Darkness of Grief: Spiritual Insights Expressed Through Art, Poetry and Prose",Diamante Lavendar,4.29,"1,547","['Contemporary', 'Fiction', 'Adult', 'Poetry', 'New Adult', 'Drama', 'Novels']"
The Girl on the Train,Paula Hawkins,3.95,"2,729,895","['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Crime', 'Suspense', 'Contemporary']"
"The Road Less Traveled: A New Psychology of Love, Traditional Values and Spiritual Growth",M. Scott Peck,4.07,"95,056","['Psychology', 'Nonfiction', 'Self Help', 'Spirituality', 'Philosophy', 'Personal Development', 'Religion']"
"The Maze Runner (The Maze Runner, #1)",James Dashner,4.04,"1,403,227","['Young Adult', 'Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Adventure', 'Mystery']"
The Complete Stories and Poems,Edgar Allan Poe,4.38,"241,467","['Classics', 'Poetry', 'Horror', 'Fiction', 'Short Stories', 'Mystery', 'Gothic']"
The Scarlet Pimpernel,Emmuska Orczy,4.07,"132,029","['Classics', 'Historical Fiction', 'Fiction', 'Romance', 'Adventure', 'Historical', 'Mystery']"
Hiroshima,John Hersey,4.01,"74,991","['History', 'Nonfiction', 'War', 'Classics', 'Japan', 'World War II', 'Historical']"
The French Lieutenant's Woman,John Fowles,3.88,"51,337","['Fiction', 'Classics', 'Historical Fiction', 'Romance', 'Literature', 'Historical', 'British Literature']"
Adoption Stories: Excerpts from Adoption Books for Adults,Janine Myung Ja,4.3,648,"['Nonfiction', 'Adoption', 'Contemporary', 'Parenting', 'Fostering', 'Sociology', 'Drama']"
House of Leaves,Mark Z. Danielewski,4.09,"155,528","['Horror', 'Fiction', 'Fantasy', 'Mystery', 'Thriller', 'Contemporary', 'Novels']"
Carrie,Stephen King,3.98,"662,351","['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Classics', 'Paranormal', 'Supernatural']"
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.96,"570,351","['Nonfiction', 'Psychology', 'Business', 'Self Help', 'Science', 'Sociology', 'Audiobook']"
Shakespeare's Sonnets,William Shakespeare,4.25,"100,211","['Poetry', 'Classics', 'Fiction', 'Literature', 'Romance', 'Plays', 'British Literature']"
A Streetcar Named Desire,Tennessee Williams,3.98,"297,387","['Plays', 'Classics', 'Fiction', 'Drama', 'School', 'Theatre', 'Read For School']"
The Total Money Makeover: A Proven Plan for Financial Fitness,Dave Ramsey,4.23,"85,573","['Nonfiction', 'Finance', 'Self Help', 'Personal Finance', 'Money', 'Business', 'Personal Development']"
"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis,3.98,"413,142","['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Adventure', 'Christian']"
The Historian,Elizabeth Kostova,3.79,"259,239","['Fiction', 'Historical Fiction', 'Fantasy', 'Horror', 'Mystery', 'Vampires', 'Historical']"
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Donald Miller,3.9,"112,512","['Nonfiction', 'Christian', 'Religion', 'Christianity', 'Spirituality', 'Faith', 'Memoir']"
"The Celestine Prophecy (Celestine Prophecy, #1)",James Redfield,3.7,"109,746","['Fiction', 'Spirituality', 'Philosophy', 'Self Help', 'New Age', 'Fantasy', 'Religion']"
Shot Down: The True Story of Pilot Howard Snyder and the Crew of the B-17 Susan Ruth,Steve Snyder,4.21,"8,793","['History', 'Nonfiction', 'Military Fiction', 'Adult', 'Aviation', 'Biography', 'Adventure']"
"Me Before You (Me Before You, #1)",Jojo Moyes,4.26,"1,511,497","['Romance', 'Fiction', 'Contemporary', 'Chick Lit', 'Adult', 'Adult Fiction', 'Audiobook']"
Brainwalker,Robyn Mundell,4.33,"10,001","['Fantasy', 'Young Adult', 'Childrens', 'Middle Grade', 'Adventure', 'Science Fiction Fantasy', 'Fiction']"
Invisible Monsters,Chuck Palahniuk,4,"137,638","['Fiction', 'Contemporary', 'Thriller', 'Novels', 'Horror', 'Mystery', 'Humor']"
Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong,James W. Loewen,3.97,"66,778","['Social Justice', 'History', 'Race', 'Audiobook', 'Anti Racist', 'Nonfiction', 'Education']"
"Ready Player One (Ready Player One, #1)",Ernest Cline,4.23,"1,088,181","['Science Fiction', 'Fiction', 'Young Adult', 'Fantasy', 'Dystopia', 'Audiobook', 'Adventure']"
"Foundation (Foundation, #1)",Isaac Asimov,4.17,"505,698","['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Fantasy', 'Space Opera', 'Novels']"
A Room with a View,E.M. Forster,3.9,"174,858","['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Italy', 'Literature', 'British Literature']"
Peace Like a River,Leif Enger,4,"87,538","['Fiction', 'Historical Fiction', 'Book Club', 'Literary Fiction', 'Novels', 'Adult Fiction', 'Adult']"
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,3.92,"1,197,253","['Fantasy', 'Young Adult', 'Fiction', 'Paranormal', 'Mystery', 'Horror', 'Historical Fiction']"
Factotum,Charles Bukowski,3.93,"66,534","['Fiction', 'Classics', 'Novels', 'Literature', 'American', 'Contemporary', 'Poetry']"
Paper Towns,John Green,3.73,"1,259,730","['Young Adult', 'Fiction', 'Contemporary', 'Romance', 'Mystery', 'Realistic Fiction', 'Coming Of Age']"
The Second Sex,Simone de Beauvoir,4.16,"38,819","['Feminism', 'Nonfiction', 'Philosophy', 'Classics', 'Womens', 'Gender', 'France']"
I Have a Dream: Writings and Speeches That Changed the World,Martin Luther King Jr.,4.49,"1,558","['Nonfiction', 'History', 'Classics', 'Politics', 'Biography', 'Essays', 'Race']"
"Cannery Row (Cannery Row, #1)",John Steinbeck,4.05,"129,824","['Classics', 'Fiction', 'Literature', 'Historical Fiction', 'American', 'Novels', 'Literary Fiction']"
The Horse Whisperer,Nicholas Evans,3.84,"56,662","['Fiction', 'Romance', 'Animals', 'Horses', 'Contemporary', 'Drama', 'Adult']"
"The Horse and His Boy (Chronicles of Narnia, #5)",C.S. Lewis,3.91,"329,778","['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Christian', 'Adventure']"
Redeeming Love,Francine Rivers,4.5,"292,914","['Christian Fiction', 'Christian', 'Romance', 'Fiction', 'Historical Fiction', 'Historical', 'Historical Romance']"
Exodus,Leon Uris,4.34,"96,946","['Historical Fiction', 'Fiction', 'Classics', 'Historical', 'Israel', 'Jewish', 'War']"
Death Be Not Proud,John Gunther,3.85,"12,057","['Nonfiction', 'Classics', 'Memoir', 'Biography', 'Biography Memoir', 'Death', 'School']"
The Goldfinch,Donna Tartt,3.93,"866,133","['Fiction', 'Contemporary', 'Literary Fiction', 'Audiobook', 'Art', 'Mystery', 'Adult']"
"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,4.02,"415,952","['Fantasy', 'Young Adult', 'Fiction', 'Dragons', 'Adventure', 'Magic', 'High Fantasy']"
Jitterbug Perfume,Tom Robbins,4.23,"74,386","['Fiction', 'Fantasy', 'Humor', 'Magical Realism', 'Novels', 'Literature', 'Contemporary']"
I Capture the Castle,Dodie Smith,4,"98,881","['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Romance', 'Coming Of Age', 'Historical']"
"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,4.14,"420,169","['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Adventure', 'Science Fiction', 'Audiobook']"
Far From the Madding Crowd,Thomas Hardy,3.96,"145,882","['Classics', 'Fiction', 'Romance', 'Historical Fiction', '19th Century', 'Literature', 'Victorian']"
"Neuromancer (Sprawl, #1)",William Gibson,3.9,"308,373","['Science Fiction', 'Fiction', 'Cyberpunk', 'Classics', 'Science Fiction Fantasy', 'Dystopia', 'Fantasy']"
Starship Troopers,Robert A. Heinlein,4.01,"218,424","['Science Fiction', 'Fiction', 'Classics', 'Military Fiction', 'War', 'Science Fiction Fantasy', 'Space Opera']"
"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,3.86,"104,246","['Nonfiction', 'Writing', 'Language', 'Reference', 'Humor', 'Linguistics', 'Education']"
"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,3.84,"198,505","['Fiction', 'Horror', 'Young Adult', 'Classics', 'Mystery', 'Gothic', 'Romance']"
Infinite Jest,David Foster Wallace,4.26,"87,002","['Fiction', 'Classics', 'Literature', 'Novels', 'Contemporary', 'Humor', 'Literary Fiction']"
The Age of Innocence,Edith Wharton,3.96,"163,889","['Classics', 'Fiction', 'Historical Fiction', 'Romance', 'Literature', 'American', 'Novels']"
Vanity Fair,William Makepeace Thackeray,3.8,"125,324","['Classics', 'Fiction', 'Historical Fiction', 'Literature', '19th Century', 'Romance', 'British Literature']"
Song of Solomon,Toni Morrison,4.12,"105,402","['Fiction', 'Classics', 'Historical Fiction', 'African American', 'Magical Realism', 'Novels', 'Literature']"
Ethan Frome,Edith Wharton,3.43,"121,454","['Classics', 'Fiction', 'Literature', 'Romance', 'School', 'Historical Fiction', 'American']"
"Skagboys (Mark Renton, #1)",Irvine Welsh,4.03,"15,625","['Fiction', 'Contemporary', 'Thriller', 'Mystery', 'Scotland', 'Crime', 'Dark']"
"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",Art Spiegelman,4.37,"311,817","['Graphic Novels', 'Comics', 'History', 'Nonfiction', 'Memoir', 'Holocaust', 'Biography']"
The Story of Ferdinand,Munro Leaf,4.36,"90,584","['Picture Books', 'Childrens', 'Classics', 'Fiction', 'Animals', 'Spain', 'Kids']"
Lunar Park,Bret Easton Ellis,3.64,"27,708","['Fiction', 'Horror', 'Thriller', 'Mystery', 'Contemporary', 'Novels', 'American']"
The Invention of Hugo Cabret,Brian Selznick,4.22,"178,812","['Historical Fiction', 'Fiction', 'Young Adult', 'Middle Grade', 'Childrens', 'Graphic Novels', 'Fantasy']"
"All Creatures Great and Small (All Creatures Great and Small, #1-2)",James Herriot,4.34,"140,140","['Nonfiction', 'Animals', 'Memoir', 'Classics', 'Biography', 'Humor', 'Autobiography']"
Utopia,Thomas More,3.55,"70,727","['Classics', 'Philosophy', 'Fiction', 'Politics', 'Literature', 'Dystopia', 'School']"
The Elegance of the Hedgehog,Muriel Barbery,3.79,"175,802","['Fiction', 'France', 'Contemporary', 'Philosophy', 'Literary Fiction', 'Book Club', 'Novels']"
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.32,"796,630","['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Steampunk', 'Historical Fiction', 'Fiction']"
The Shipping News,Annie Proulx,3.87,"141,910","['Fiction', 'Contemporary', 'Canada', 'Literary Fiction', 'Literature', 'Novels', 'Classics']"
Walks Away Woman,Ki Longfellow,4.37,"1,143","['Survival', 'Adventure', 'Fiction', 'Novels', 'Thriller', 'Literature', 'Womens']"
"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,3.96,"148,228","['Mystery', 'Fiction', 'Classics', 'Crime', 'Noir', 'Detective', 'Mystery Thriller']"
'Salem's Lot,Stephen King,4.05,"417,758","['Horror', 'Fiction', 'Vampires', 'Fantasy', 'Thriller', 'Paranormal', 'Supernatural']"
The Waste Land,T.S. Eliot,4.1,"51,178","['Poetry', 'Classics', 'Fiction', 'Literature', '20th Century', 'School', 'American']"
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.11,"626,681","['Young Adult', 'Fantasy', 'Vampires', 'Paranormal', 'Romance', 'Urban Fantasy', 'Fiction']"
"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,4.08,"350,455","['Fantasy', 'Young Adult', 'Fiction', 'Dragons', 'Adventure', 'Magic', 'High Fantasy']"
"P.S. I Love You (P.S. I Love You, #1)",Cecelia Ahern,4.03,"371,925","['Romance', 'Chick Lit', 'Fiction', 'Contemporary', 'Adult', 'Contemporary Romance', 'Love']"
Of Human Bondage,W. Somerset Maugham,4.13,"54,824","['Classics', 'Fiction', 'Literature', 'Novels', 'British Literature', 'Romance', 'Literary Fiction']"
The Sorrows of Young Werther,Johann Wolfgang von Goethe,3.69,"118,108","['Classics', 'Fiction', 'German Literature', 'Literature', 'Romance', 'Germany', 'Novels']"
"The Gunslinger (The Dark Tower, #1)",Stephen King,3.93,"581,142","['Fantasy', 'Fiction', 'Horror', 'Science Fiction', 'Westerns', 'Audiobook', 'Adventure']"
Contact,Carl Sagan,4.14,"137,283","['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Space', 'Novels', 'Fantasy']"
Medea,Euripides,3.92,"70,248","['Classics', 'Plays', 'Drama', 'Mythology', 'Fiction', 'Theatre', 'School']"
"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,4.12,"891,737","['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Urban Fantasy', 'Fiction', 'Vampires']"
Complete Works of Arthur Conan Doyle,Arthur Conan Doyle,4.5,"3,285","['Classics', 'Fiction', 'Mystery', 'Literature', 'Detective', 'Crime', 'Adventure']"
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,4.54,"895,841","['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']"
Dubliners,James Joyce,3.84,"146,133","['Classics', 'Fiction', 'Short Stories', 'Ireland', 'Literature', 'Irish Literature', '20th Century']"
"Insurgent (Divergent, #2)",Veronica Roth,3.98,"1,417,109","['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']"
A Passage to India,E.M. Forster,3.68,"77,090","['Classics', 'Fiction', 'India', 'Historical Fiction', 'Literature', 'Novels', 'British Literature']"
"Let's Talk: ...about Making Your Life Exciting, Easier, and Exceptional",Art Rios,4.29,"4,548","['Self Help', 'Nonfiction', 'Personal Development', 'Education', 'Contemporary', 'Inspirational', 'Book Club']"
Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,4,"195,812","['Nonfiction', 'Religion', 'History', 'True Crime', 'Crime', 'Audiobook', 'Cults']"
Black Like Me,John Howard Griffin,4.1,"66,861","['Nonfiction', 'History', 'Memoir', 'Classics', 'Biography', 'Race', 'African American']"
"Matching Configurations (Quantum Roots, #3)",Kyle Keyes,4.3,"7,474","['Novels', 'Fiction', 'Science Fiction', 'Young Adult', 'Space Opera', 'Space', 'Teen']"
As I Lay Dying,William Faulkner,3.71,"158,580","['Classics', 'Fiction', 'Literature', 'Novels', 'American', 'School', 'Southern Gothic']"
"Uglies (Uglies, #1)",Scott Westerfeld,3.85,"637,204","['Young Adult', 'Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Romance', 'Teen']"
"If I Stay (If I Stay, #1)",Gayle Forman,3.92,"858,393","['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Teen', 'Music']"
The Heart of Aleppo: A Story of the Syrian Civil War,Ammar Habib,4.4,"7,613","['Historical Fiction', 'Young Adult', 'Historical', 'Fiction', 'Contemporary', 'War', 'Inspirational']"
Misery,Stephen King,4.21,"637,238","['Horror', 'Fiction', 'Thriller', 'Suspense', 'Mystery', 'Mystery Thriller', 'Adult']"
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,"69,489","['History', 'Nonfiction', 'Science', 'Anthropology', 'Sociology', 'Politics', 'Environment']"
"Pride and Prejudice, Mansfield Park, Persuasion",Jane Austen,4.51,"5,984","['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'British Literature', 'Novels']"
A Heartbreaking Work of Staggering Genius,Dave Eggers,3.69,"178,466","['Fiction', 'Contemporary', 'Literature', 'Humor', 'Biography Memoir', 'Novels', 'American']"
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.66,"2,434,329","['Romance', 'Fiction', 'Erotica', 'Adult', 'BDSM', 'Contemporary', 'Contemporary Romance']"
Ficciones,Jorge Luis Borges,4.42,"62,136","['Fiction', 'Short Stories', 'Classics', 'Magical Realism', 'Fantasy', 'Literature', 'Spanish Literature']"
"Ella Enchanted (Ella Enchanted, #1)",Gail Carson Levine,4,"405,947","['Fantasy', 'Young Adult', 'Fiction', 'Romance', 'Middle Grade', 'Childrens', 'Fairy Tales']"
The Education of Little Tree,Forrest Carter,4.13,"16,274","['Fiction', 'Historical Fiction', 'Young Adult', 'Classics', 'Childrens', 'Coming Of Age', 'American']"
"Love is the Answer, God is the Cure: A True Story of Abuse, Betrayal and Unconditional Love",Aimee Cabo Nikolov,4.29,"3,841","['Contemporary', 'Nonfiction', 'Adult', 'True Story', 'Abuse', 'Drama', 'Book Club']"
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,4.15,"542,848","['Nonfiction', 'Biography', 'Memoir', 'Feminism', 'Autobiography', 'Audiobook', 'Biography Memoir']"
The Fall,Albert Camus,4.04,"93,903","['Fiction', 'Philosophy', 'Classics', 'France', 'Literature', 'French Literature', 'Novels']"
"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,4.01,"255,105","['Fiction', 'Science Fiction', 'Dystopia', 'Post Apocalyptic', 'Fantasy', 'Canada', 'Speculative Fiction']"
"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,4,"367,346","['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Science Fiction', 'Magic']"
If on a Winter's Night a Traveler,Italo Calvino,4.04,"90,590","['Fiction', 'Classics', 'Italian Literature', 'Magical Realism', 'Literature', 'Italy', 'Novels']"
"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,4.16,"137,925","['Fiction', 'Historical Fiction', 'Westerns', 'Classics', 'Literature', 'Novels', 'Horror']"
"The Selection (The Selection, #1)",Kiera Cass,4.09,"1,407,294","['Young Adult', 'Romance', 'Dystopia', 'Fantasy', 'Fiction', 'Science Fiction', 'Audiobook']"
"Small Gods (Discworld, #13)",Terry Pratchett,4.31,"115,042","['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Religion', 'Audiobook']"
Seabiscuit: An American Legend,Laura Hillenbrand,4.22,"159,539","['Nonfiction', 'History', 'Biography', 'Sports', 'Animals', 'Horses', 'Historical']"
Little Women / Little Men / Jo's Boys,Louisa May Alcott,4.31,"5,533","['Classics', 'Fiction', 'Literature', 'Historical Fiction', '19th Century', 'American', 'Childrens']"
"Girl, Interrupted",Susanna Kaysen,3.92,"224,022","['Nonfiction', 'Memoir', 'Psychology', 'Mental Health', 'Mental Illness', 'Biography', 'Classics']"
Le Morte d'Arthur: King Arthur and the Legends of the Round Table,Thomas Malory,3.92,"36,669","['Classics', 'Fantasy', 'Fiction', 'Arthurian', 'Mythology', 'Historical Fiction', 'Medieval']"
On Death and Dying,Elisabeth Kubler-Ross,4.16,"25,955","['Psychology', 'Nonfiction', 'Death', 'Philosophy', 'Self Help', 'Medicine', 'Spirituality']"
The Hobbit,Chuck Dixon,4.51,"219,962","['Fantasy', 'Graphic Novels', 'Classics', 'Fiction', 'Comics', 'Adventure', 'Young Adult']"
All the President's Men,Carl Bernstein,4.17,"53,007","['History', 'Politics', 'Nonfiction', 'Journalism', 'American History', 'True Crime', 'Classics']"
"Left Behind (Left Behind, #1)",Tim LaHaye,3.85,"224,985","['Fiction', 'Christian', 'Christian Fiction', 'Religion', 'Fantasy', 'Thriller', 'Christianity']"
Travels with Charley: In Search of America,John Steinbeck,4.07,"88,642","['Nonfiction', 'Travel', 'Classics', 'Memoir', 'Biography', 'Literature', 'Biography Memoir']"
"Wayside School Is Falling Down (Wayside School, #2)",Louis Sachar,4.16,"59,427","['Childrens', 'Fiction', 'Humor', 'Middle Grade', 'Young Adult', 'Fantasy', 'Juvenile']"
A Town Like Alice,Nevil Shute,4.15,"55,619","['Fiction', 'Historical Fiction', 'Classics', 'Australia', 'Romance', 'War', 'Historical']"
"The Hate U Give (The Hate U Give, #1)",Angie Thomas,4.49,"815,526","['Young Adult', 'Fiction', 'Contemporary', 'Audiobook', 'Realistic Fiction', 'Race', 'Social Justice']"
The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,4.28,"69,995","['Science', 'Nonfiction', 'Philosophy', 'Religion', 'History', 'Skepticism', 'Atheism']"
"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,3.99,"490,295","['Fiction', 'Young Adult', 'Childrens', 'Fantasy', 'Middle Grade', 'Mystery', 'Adventure']"
Paradox Effect: Time Travel and Purified DNA Merge to Halt the Collapse of Human Existence,Gabriel F.W. Koch,4.33,"11,204","['Fiction', 'Novels', 'Science Fiction', 'Young Adult', 'Space', 'Contemporary', 'Science Fiction Fantasy']"
The Joy of Cooking,Irma S. Rombauer,4.12,"179,066","['Cookbooks', 'Cooking', 'Food', 'Nonfiction', 'Reference', 'Classics', 'Culinary']"
The Nightingale,Kristin Hannah,4.6,"1,113,296","['Historical Fiction', 'Fiction', 'Historical', 'World War II', 'War', 'Audiobook', 'Adult']"
A Million Little Pieces,James Frey,3.67,"245,505","['Fiction', 'Contemporary', 'Psychology', 'Biography Memoir', 'Mental Health', 'Adult', 'Book Club']"
The Pearl,John Steinbeck,3.52,"222,837","['Classics', 'Fiction', 'Literature', 'School', 'Historical Fiction', 'American', 'Novels']"
The Shock Doctrine: The Rise of Disaster Capitalism,Naomi Klein,4.26,"45,340","['Nonfiction', 'Politics', 'Economics', 'History', 'Sociology', 'Business', 'Philosophy']"
Soul Cure: How to Heal Your Pain and Discover Your Purpose,Gregory Dickow,3.51,"1,412","['Self Help', 'Psychology', 'Personal Development', 'Nonfiction', 'Productivity', 'Philosophy', 'Education']"
And the Mountains Echoed,Khaled Hosseini,4.07,"353,733","['Fiction', 'Historical Fiction', 'Contemporary', 'Novels', 'Literary Fiction', 'Adult', 'Historical']"
Down and Out in Paris and London,George Orwell,4.09,"81,160","['Nonfiction', 'Classics', 'Memoir', 'Biography', 'Travel', 'History', 'Literature']"
Momo,Michael Ende,4.33,"73,025","['Fantasy', 'Fiction', 'Classics', 'Childrens', 'German Literature', 'Young Adult', 'Middle Grade']"
High Fidelity,Nick Hornby,3.92,"193,693","['Fiction', 'Music', 'Contemporary', 'Humor', 'Romance', 'Novels', 'British Literature']"
"Quantum Roots (Quantum Roots, #1)",Kyle Keyes,4.28,"3,311","['Fiction', 'Science Fiction', 'Contemporary', 'Drama', 'Thriller', 'Novels', 'Young Adult']"
The Bhagavad Gita,Krishna-Dwaipayana Vyasa,4.16,"67,674","['Religion', 'Philosophy', 'Classics', 'Spirituality', 'Poetry', 'Nonfiction', 'India']"
The Tin Drum,Günter Grass,3.95,"42,521","['Fiction', 'Classics', 'German Literature', 'Historical Fiction', 'Literature', 'Germany', 'Magical Realism']"
"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,4.29,"924,250","['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Urban Fantasy', 'Fiction', 'Vampires']"
"The Last Unicorn (The Last Unicorn, #1)",Peter S. Beagle,4.16,"104,456","['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Adventure', 'Science Fiction Fantasy']"
The Dispossessed: An Ambiguous Utopia,Ursula K. Le Guin,4.24,"113,198","['Science Fiction', 'Fiction', 'Fantasy', 'Dystopia', 'Classics', 'Science Fiction Fantasy', 'Speculative Fiction']"
Eleanor & Park,Rainbow Rowell,3.96,"1,110,965","['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Audiobook', 'Teen']"
The Man in the High Castle,Philip K. Dick,3.6,"200,685","['Science Fiction', 'Fiction', 'Classics', 'Dystopia', 'Alternate History', 'Historical Fiction', 'Fantasy']"
"Animal, Vegetable, Miracle: A Year of Food Life",Barbara Kingsolver,4.04,"107,804","['Nonfiction', 'Food', 'Memoir', 'Gardening', 'Health', 'Environment', 'Nature']"
We,Yevgeny Zamyatin,3.9,"89,899","['Fiction', 'Science Fiction', 'Classics', 'Dystopia', 'Russia', 'Russian Literature', 'Literature']"
Secrets of the Realm,Bev Stout,3.91,579,"['Historical Fiction', 'Young Adult', 'Middle Grade', 'Historical', 'Coming Of Age', 'Fiction', 'Fantasy']"
Zorba the Greek,Nikos Kazantzakis,4.05,"47,462","['Fiction', 'Classics', 'Philosophy', 'Greece', 'Novels', 'Literature', 'Historical Fiction']"
Stardust,Neil Gaiman,4.1,"426,305","['Fantasy', 'Fiction', 'Romance', 'Young Adult', 'Adventure', 'Audiobook', 'Magic']"
Les Fleurs du Mal,Charles Baudelaire,4.21,"66,079","['Poetry', 'Classics', 'France', 'French Literature', 'Fiction', 'Literature', '19th Century']"
Papillon,Henri Charrière,4.23,"66,744","['Nonfiction', 'Biography', 'Classics', 'Adventure', 'Memoir', 'Autobiography', 'France']"
I Am the Messenger,Markus Zusak,4.04,"154,934","['Young Adult', 'Fiction', 'Mystery', 'Contemporary', 'Realistic Fiction', 'Australia', 'Audiobook']"
