title,author,gender,birth_year,age,language,first_published,sales,genres
The Hunger Games,Suzanne Collins,F,1962,46,English,2008,29,"['Young Adult', 'Fiction', 'Dystopia', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']"
Catching Fire,Suzanne Collins,F,1962,47,English,2009,21,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']"
Mockingjay,Suzanne Collins,F,1962,48,English,2010,20,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']"
Knowledge-value Revolution (知価革命),Taichi Sakaiya,M,1935,50,Japanese,1985,10,['Business']
"Totto-chan, the Little Girl at the Window (窓ぎわのトットちゃん)",Tetsuko Kuroyanagi,F,1933,48,Japanese,1981,18,"['Nonfiction', 'Childrens', 'Japan', 'Education', 'Biography', 'Japanese Literature', 'Memoir']"
Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,M,1914,36,Norwegian,1950,20,"['Nonfiction', 'Travel', 'Adventurw', 'History', 'Classics', 'Biography', 'Memoir', 'Anthropology', 'Science', 'Historical']"
Santa Evita,Tomás Eloy Martínez,M,1934,61,Spanish,1995,10,"['Fiction', 'Historical Fiction', 'Spanish Literature', 'Latin American', 'Literature', 'Magic Realism', 'Historical']"
The Name of the Rose (Il Nome della Rosa),Umberto Eco,M,1932,48,Italian,1980,50,"['Fiction', 'Historical Fiction', 'Mystery', 'Classics', 'Historical', 'Literature', 'Italian Literature']"
Flowers in the Attic,V. C. Andrews,F,1923,56,English,1979,40,"['Fiction', 'Horror', 'Young Adult', 'Classics', 'Mystery', 'Gothic', 'Romance']"
Vardi Wala Gunda (वर्दी वाला गुंडा),Ved Prakash Sharma,M,1955,37,Hindi,1992,80,[]
Man's Search for Meaning (Ein Psychologe erlebt das Konzentrationslager),Viktor Frankl,M,1905,41,German,1946,12,"['Nonfiction', 'Psychology', 'Philosophy', 'History', 'Self Help', 'Memoir', 'Biography']"
Lolita,Vladimir Nabokov,M,1899,56,English,1955,50,"['Classics', 'Fiction', 'Literature', 'Novels', 'Russia', 'Romance', 'Russian Literature']"
Your Erroneous Zones,Wayne Dyer,M,1940,36,English,1976,35,"['Self Help', 'Psychology', 'Nonfiction', 'Personal Development', 'Spirituality', 'Philosophy', 'Audiobook']"
The Revolt of Mamie Stover,William Bradford Huie,M,1910,41,English,1951,30,"['Fiction', 'Classics']"
The Shack,William P. Young,M,1955,52,English,2007,22.5,"['Fiction', 'Christian', 'Christian Fiction', 'Religion', 'Spirituality', 'Faith', 'Inspirational']"
The Exorcist,William Peter Blatty,M,1928,43,English,1971,11,"['Horror', 'Fiction', 'Classics', 'Paranormal', 'Thriller', 'Supernatural', 'Fantasy']"
The Happy Hooker: My Own Story,Xaviera Hollander,F,1943,28,English,1971,20,"['Nonfiction', 'Biography', 'Memoir', 'Erotica', 'Biography Memoir', 'Autobiography', 'Sexuality', 'Sex Work', 'Adult', 'Womens']"
Problems in China's Socialist Economy (中国社会主义经济问题研究),Xue Muqiao,M,1904,75,Chinese,1979,10,[]
Life of Pi,Yann Martel,M,1963,38,English,2001,10,"['Fiction', 'Fantasy', 'Classics', 'Adventure', 'Contemporary', 'Magical Realism', 'Novels']"
Confucius from the Heart (于丹《论语》心得),Yu Dan,F,1965,41,Chinese,2006,10,"['Philosophy', 'Nonfiction', 'China', 'Self Help', 'Spirituality', 'Religion', 'Inspirational', 'Classics', 'Eastern Philosophy', '21st Century']"
